movie_title,average_score
600 Miles,74.6875
61*,76.25
68 Kill,66.45833333333333
6ixtynin9,70.89285714285714
7 Boxes,76.13888888888889
7 Chinese Brothers,61.93181818181818
7 Days (Les 7 jours du talion),70.0
7 Days in Entebbe,50.82111111111111
7 Days in September,76.42857142857143
7 Guardians of the Tomb,42.5
71 Fragmente einer Chronologie des Zufalls (71 Fragments of a Chronology of Chance),68.75
78/52: Hitchcock's Shower Scene,71.69811320754717
8 1/2,85.71428571428571
8 Heads in a Duffel Bag,44.375
8 Mile,68.09060402684564
8 Seconds,41.666666666666664
808,70.0
84 Charing Cross Road,69.64285714285714
88 Minutes,30.48989898989899
8: The Mormon Proposition,66.4
8MM,49.63
9,61.3843537414966
9 1/2 Weeks,57.5
9 Dead Gay Guys,41.333333333333336
9 Full Moons,72.5
9 to 5,69.8529411764706
9/11,38.5
90 Minutes In Heaven,49.464285714285715
95 Miles to Go,58.5625
9500 Liberty,76.5
96 Souls,45.0
976-EVIL,28.5
99 Homes,73.52314814814815
A Bad Moms Christmas,47.58695652173913
A Bag of Hammers,56.36666666666667
A Band Called Death,69.9125
A Beautiful Life,35.27777777777778
A Beautiful Mind,74.28879310344827
A Beginner's Guide To Endings,65.0
A Better Life,66.43452380952381
A Better Tomorrow,86.0
A Bigger Splash,70.54761904761905
A Bird of the Air,56.5625
A Birder's Guide To Everything,66.66666666666667
A Bittersweet Life (Dalkomhan insaeng),82.0
A Bottle in the Gaza Sea,67.72727272727273
A Boy Called Po,51.25
A Boy Called Sailboat,66.0
A Boy Named Charlie Brown,74.0625
A Boy and His Dog,65.32352941176471
"A Bread Factory, Part One: For the Sake of Gold",83.18181818181819
"A Bread Factory, Part Two: Walk with Me a While",83.125
A Breath Away (Dans la brume),55.0
A Bridge Too Far,62.95454545454545
A Brief History of Time,68.75
A Brighter Summer Day,81.0
A Brilliant Young Mind,66.05932203389831
A Bronx Tale,83.33333333333333
A Brony Tale,70.85714285714286
A Brother's Kiss,75.0
A Bucket of Blood,70.41666666666667
A Bug's Life,80.72033898305085
A Burning Hot Summer,54.583333333333336
A Canterbury Tale,66.66666666666667
A Case of You,54.59090909090909
A Cat in Paris,66.67708333333333
A Charlie Brown Christmas,95.71428571428571
A Charlie Brown Thanksgiving,86.66666666666667
A Chorus Line,48.392857142857146
A Christmas Carol,71.25
A Christmas Prince,60.0
A Christmas Prince: The Royal Baby,50.0
A Christmas Prince: The Royal Wedding,50.0
A Christmas Story,84.0625
A Ciambra,73.28571428571429
A Cinderella Story,41.85443037974684
A Civil Action,67.90697674418605
A Clear Shot,39.583333333333336
A Clockwork Orange,87.41025641025641
A Coffee in Berlin,63.388888888888886
