movie_title,average_score
6 Underground,50.732142857142854
6 Ways To Die,36.666666666666664
6 Years,68.88888888888889
600 Miles,74.6875
61*,68.82352941176471
68 Kill,66.45833333333333
6ixtynin9,70.16666666666667
7 Boxes,76.13888888888889
7 Chinese Brothers,61.93181818181818
7 Days (Les 7 jours du talion),70.0
7 Days in Entebbe,50.82111111111111
7 Days in September,76.875
7 Guardians of the Tomb,42.5
71 Fragmente einer Chronologie des Zufalls (71 Fragments of a Chronology of Chance),68.75
78/52: Hitchcock's Shower Scene,71.69811320754717
8 1/2,87.58620689655173
8 Heads in a Duffel Bag,37.60526315789474
8 Mile,68.54220779220779
8 Seconds,54.23076923076923
808,70.0
84 Charing Cross Road,74.42307692307692
88 Minutes,30.185
8: The Mormon Proposition,66.4
8MM,49.888888888888886
9,61.3843537414966
9 1/2 Weeks,54.43181818181818
9 Dead Gay Guys,39.44444444444444
9 Full Moons,72.5
9 to 5,68.79032258064517
9/11,38.5
90 Minutes In Heaven,49.464285714285715
95 Miles to Go,58.05882352941177
9500 Liberty,76.5
96 Souls,45.0
976-EVIL,26.944444444444443
99 Homes,73.52314814814815
A Bad Moms Christmas,47.58695652173913
A Bag of Hammers,56.36666666666667
A Band Called Death,69.9125
A Beautiful Life,35.27777777777778
A Beautiful Mind,74.42307692307692
A Beginner's Guide To Endings,55.0
A Better Life,66.45930232558139
A Better Tomorrow,72.92307692307692
A Bigger Splash,70.54761904761905
A Bird of the Air,56.5625
A Birder's Guide To Everything,66.66666666666667
A Bittersweet Life (Dalkomhan insaeng),81.25
A Bottle in the Gaza Sea,67.72727272727273
A Boy Called Po,51.25
A Boy Called Sailboat,66.0
A Boy Named Charlie Brown,72.83333333333333
A Boy and His Dog,67.01666666666667
"A Bread Factory, Part One: For the Sake of Gold",83.18181818181819
"A Bread Factory, Part Two: Walk with Me a While",83.125
A Breath Away (Dans la brume),55.0
A Bridge Too Far,63.28125
A Brief History of Time,71.5
A Brighter Summer Day,81.0
A Brilliant Young Mind,66.05932203389831
A Bronx Tale,75.1
A Brony Tale,70.85714285714286
A Brother's Kiss,73.0
A Bucket of Blood,64.03846153846153
A Bug's Life,80.60483870967742
A Burning Hot Summer,54.583333333333336
A Canterbury Tale,68.57142857142857
A Case of You,54.59090909090909
A Cat in Paris,66.67708333333333
A Charlie Brown Christmas,88.46153846153847
A Charlie Brown Thanksgiving,86.66666666666667
A Chorus Line,49.875
A Christmas Carol,71.04166666666667
A Christmas Prince,60.0
A Christmas Prince: The Royal Baby,50.0
A Christmas Prince: The Royal Wedding,50.0
A Christmas Story,80.66666666666667
A Ciambra,73.28571428571429
A Cinderella Story,41.18181818181818
A Civil Action,68.42592592592592
A Clear Shot,39.583333333333336
A Clockwork Orange,86.72093023255815
A Coffee in Berlin,63.388888888888886
A Complete History of My Sexual Failures,67.5
A Conspiracy of Faith (Flaskepost fra P),75.0
A Cool Dry Place,54.55
A Cop (Un Flic),66.34615384615384
A Country Called Home,54.25
A Crooked Somebody,74.075
A Crude Awakening: The Oil Crash,62.72727272727273
A Cure For Wellness,54.27388535031847
A Dangerous Method,66.57876712328768
A Dangerous Woman,62.25
A Dark Song,73.4
A Date with Judy,72.5
A Day at the Races,74.375
A Dirty Shame,58.65934065934066
A Distant Trumpet,63.333333333333336
A Dog of Flanders,46.666666666666664
A Dog's Journey,53.57627118644068
A Dog's Purpose,49.34649122807018
A Dog's Way Home,56.830357142857146
A Face in the Crowd,83.0
A Family Thing,62.025
A Fantastic Fear of Everything,43.958333333333336
A Fantastic Woman (Una mujer fantástica),76.87226277372262
A Farewell To Arms,42.5
A Farewell to Arms,78.33333333333333
A Farewell to Fools,58.5
A Few Best Men,35.625
A Few Good Men,71.47727272727273
A Field in England,69.99019607843137
A Fierce Green Fire,61.15384615384615
A Film Unfinished,77.875
A Film with Me in It,63.5625
A Fine Madness,56.25
A Fine Mess,53.125
A Fish Called Wanda,81.25
A Fistful of Dollars (Per un Pugno di Dollari),82.46341463414635
A Five Star Life,61.125
A Fond Kiss,71.66666666666667
A Fool There Was,67.0
A Fortunate Man (Lykke-Per),77.5
A Four Letter Word,54.642857142857146
A Funny Thing Happened on the Way to the Forum,70.55555555555556
A Futile and Stupid Gesture,65.20833333333333
"A Galaxy Far, Far Away",55.0
A Ghost Story,76.64324324324325
A Girl And A Gun,49.583333333333336
A Girl Walks Home Alone at Night,74.98
A Glimpse Inside the Mind of Charles Swan III,39.294871794871796
A Good Day To Die Hard,43.166666666666664
A Good Day to Be Black & Sexy,62.5
A Good Man in Africa,43.333333333333336
A Good Old Fashioned Orgy,47.37
A Good Woman,55.88235294117647
A Good Woman Is Hard to Find,69.546875
A Good Year,52.96017699115044
A Goofy Movie,60.9375
A Gray State,74.16666666666667
A Great Day in Harlem,71.15384615384616
A Great Wall,65.0
A Guide to Recognizing Your Saints,67.87671232876713
A Guy Thing,44.58720930232558
A Hard Day,69.21875
A Hard Day's Night,87.58035714285714
A Haunted House,31.25
A Haunted House 2,26.383333333333333
A Hijacking,72.55882352941177
A History of Violence,75.56626506024097
A Hole in the Head,63.333333333333336
A Hologram for the King,61.628865979381445
A Home at the End of the World,60.02840909090909
A Home of Our Own,56.5
A Horrible Way to Die,66.5
A Jihad for Love,65.1086956521739
A Kid Like Jake,60.955882352941174
A Kid in King Arthur's Court,34.61538461538461
A Kind of Murder,54.80769230769231
A Kiss Before Dying,65.41666666666667
A Knight's Tale,62.420731707317074
A La Mala,57.5
A Late Quartet,63.45294117647059
A League of Ordinary Gentlemen,71.33928571428571
A League of Their Own,67.32954545454545
A Letter to Momo,63.4375
A Letter to Three Wives,79.16666666666667
A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman,51.11363636363637
A Life Less Ordinary,56.01428571428571
A Little Bit Of Heaven,31.524390243902438
A Little Chaos,55.19402985074627
A Little Help,56.875
A Little Princess,81.11111111111111
A Little Romance,68.03333333333333
A Little Trip to Heaven,52.5
A Lonely Place to Die,57.95454545454545
A Long Way Down,44.406976744186046
A Long Way From Home,51.111111111111114
A Lot Like Love,54.28921568627451
A Low Down Dirty Shame,41.029411764705884
A Man Apart,44.05140186915888
A Man Called Horse,70.1923076923077
A Man Called Ove (En man som heter Ove),70.06172839506173
A Man Escaped (Un condamné à mort s'est échappé ou Le vent souffle où il veut),87.13636363636364
A Man Named Pearl,68.03571428571429
A Man and a Woman,63.611111111111114
A Man for All Seasons,77.78846153846153
A Man's Story,49.464285714285715
A Marine Story,51.666666666666664
A Master Builder,67.86363636363636
A Merry Friggin' Christmas,37.5
A Midnight Clear,71.75925925925925
A Midsummer Night's Dream,71.5909090909091
A Midsummer Night's Sex Comedy,66.71875
A Mighty Heart,72.25510204081633
A Mighty Wind,70.98620689655172
A Million Little Pieces,50.69444444444444
A Million Ways to Die in the West,51.937106918238996
A Monster Calls,74.21243523316062
A Monster in Paris,59.5
A Month Of Sundays,59.61538461538461
A Month by the Lake,63.0
A Most Violent Year,73.2547770700637
A Most Wanted Man,69.30891719745223
A Mother's Courage: Talking Back To Autism (Sólskinsdrengurinn),71.42857142857143
A Murder In The Park,64.38888888888889
A Murder of Crows,44.4
A Necessary Death,78.33333333333333
A New Kind of Love,46.875
A New Leaf,78.75
A New Life,45.0
A Nice Girl Like You,44.583333333333336
A Night In Old Mexico,52.69230769230769
A Night at the Opera,81.66666666666667
A Night at the Roxbury,34.67391304347826
A Night in Casablanca,55.833333333333336
A Night to Remember,85.125
A Nightmare on Elm Street,48.16532258064516
A Nightmare on Elm Street 2: Freddy's Revenge,46.08695652173913
A Nightmare on Elm Street 3: Dream Warriors,60.5
A Nightmare on Elm Street 4: The Dream Master,49.130434782608695
A Nightmare on Elm Street 5: The Dream Child,43.65384615384615
A Novel Romance,30.0
A Passage to India,72.40625
A Patch of Blue,83.92857142857143
A Patient Man,68.33333333333333
A Perfect Day,67.21621621621621
A Perfect Getaway,59.888392857142854
A Perfect Man,58.333333333333336
A Perfect Murder,62.510416666666664
A Perfect World,73.125
A Place at the Table,73.1086956521739
A Place in the Sun,82.68181818181819
A Plumm Summer,41.07142857142857
A Poem Is A Naked Person,71.45833333333333
A Prairie Home Companion,71.2448275862069
A Prayer Before Dawn,73.33333333333333
A Prayer for the Dying,50.0
A Price Above Rubies,56.5
A Private Function,79.0
A Private War,69.38144329896907
A Promise,40.0
A Prophet (Un prophete),81.78991596638656
A Pyromaniac's Love Story,38.40909090909091
A Question of Faith,75.0
A Quiet Passion,74.14485981308411
A Quiet Place,77.38697318007662
A Rage in Harlem,63.369565217391305
A Raisin in the Sun,86.14285714285714
A Reindeer's Journey,74.0
A River Runs Through It,67.71666666666667
A Room With a View,81.16
A Royal Affair,71.38823529411765
A Royal Night Out,58.580357142857146
A Rumor of Angels,47.5
A Scandal in Paris,75.0
A Scanner Darkly,66.58163265306122
A Score to Settle,46.92307692307692
A Screaming Man,71.96551724137932
A Secret Love,72.29166666666667
A Separation,81.515625
A Serious Man,78.23372781065089
A Shaun the Sheep Movie: Farmageddon,73.49137931034483
A Shine of Rainbows,54.75
A Short History Of Decay,48.416666666666664
A Shot in the Dark,79.5
A Simple Curve,66.25
A Simple Favor,69.21142857142857
A Simple Life,76.6086956521739
A Simple Plan,76.88181818181818
A Simple Twist of Fate,54.75
A Simple Wedding,71.42857142857143
A Simple Wish,45.666666666666664
A Single Girl,65.45454545454545
A Single Man,71.79032258064517
A Single Shot,57.77777777777778
A Sinner in Mecca,64.64285714285714
A Skin So Soft (Ta peau si lisse),67.5
A Slight Case of Murder,71.66666666666667
A Slipping-Down Life,54.166666666666664
A Small Act,61.607142857142854
A Smile Like Yours,33.94736842105263
A Snake of June (Rokugatsu no hebi),48.75
A Soldier's Story,74.84375
A Song for Martin,73.28947368421052
A Sound of Thunder,34.00125
A Space Program,79.16666666666667
A Star Is Born,76.99665249602123
A Star is Born,53.369565217391305
A Stranger Among Us,47.1875
A Street Cat Named Bob,59.42307692307692
A Streetcar Named Desire,85.39772727272727
A Suitable Girl,71.78571428571429
A Summer In Genoa,61.52777777777778
A Summer Place,61.25
A Summer's Tale,75.79354838709678
A Sun,70.0
A Tale of Love and Darkness,63.333333333333336
A Tale of Two Cities,80.45454545454545
A Tale of Two Pizzas,48.0
A Tale of Two Sisters,69.82954545454545
A Taste of Honey,80.3125
A Teacher,57.63157894736842
A Thin Line Between Love and Hate,39.3421052631579
A Thousand Kisses Deep,38.18181818181818
A Thousand Words,35.1
A Thousand Years of Good Prayers,69.10714285714286
A Thread of Deceit: The Hart Family Tragedy,57.75
A Throw of Dice,73.83333333333333
A Time to Kill,63.048780487804876
A Touch of Class,68.0
A Touch of Sin,74.30701754385964
A Touch of Zen,79.375
A Town Called Panic (Panique au village),66.42857142857143
A Troll in Central Park,34.785714285714285
A Tuba to Cuba,73.0
A Turtle's Tale: Sammy's Adventures,44.666666666666664
A United Kingdom,67.475
A Very Brady Sequel,55.535714285714285
A Very British Gangster,66.5
A Very Harold & Kumar Christmas,61.86190476190476
A Very Long Engagement,73.17094017094017
A Very Sordid Wedding,71.25
A View to a Kill,52.48936170212766
A Vigilante,69.67391304347827
A Violent Man,58.0
A Violent Separation,50.3125
A Wake In Providence (Almost Married),52.5
A Walk Among the Tombstones,63.439516129032256
A Walk In The Woods,55.90725806451613
A Walk Into the Sea: Danny Williams and the Warhol Factory,63.859649122807014
A Walk in the Clouds,57.5
A Walk on the Moon,66.88709677419355
A Walk to Remember,48.21551724137931
A War (Krigen),73.85166666666667
A Warrior's Heart,30.61111111111111
A Wedding for Bella,61.28048780487805
A Whale of a Tale,64.16666666666667
A Whisper To A Roar,66.66666666666667
"A White, White Day (Hvítur, hvítur dagur)",72.44047619047619
A Will For The Woods,70.83333333333333
A Wink and a Smile,60.55555555555556
A Wizard's Tale (Here Comes the Grump),37.5
